Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2021-06-17,8.6,18.4,18.6,SW,24.0,14:49,11.1,81,5.0,WSW,7,1006.3,17.6,36,0.0,WSW,15,1004.0,1
2021-06-18,3.0,14.3,0.0,SW,50.0,21:48,12.3,57,8.0,W,11,1005.4,11.5,85,7.0,W,11,1005.3,0
2021-06-19,10.8,16.5,6.2,SW,59.0,02:27,14.2,55,1.0,SW,31,1015.7,15.2,54,8.0,SSW,28,1018.2,1
2021-06-20,10.8,16.5,0.0,SW,43.0,09:38,13.6,61,7.0,SW,22,1025.5,14.4,60,8.0,SSW,17,1025.3,0
2021-06-21,7.9,16.1,0.0,SE,24.0,14:25,13.3,65,8.0,WSW,11,1028.8,13.9,77,8.0,SE,11,1027.1,0
2021-06-22,7.1,17.4,0.0,ENE,24.0,14:11,11.9,80,8.0,SW,11,1031.7,15.5,67,4.0,NE,17,1028.7,0
2021-06-23,7.7,18.0,0.0,N,30.0,22:02,9.5,96,8.0,WNW,2,1025.7,14.0,76,7.0,NNE,6,1020.3,0
2021-06-24,9.5,20.9,0.0,NNW,50.0,12:14,17.7,62,7.0,N,9,1010.8,16.2,82,8.0,NNW,7,1008.7,0
2021-06-25,5.5,19.0,2.6,WNW,33.0,15:55,9.1,92,0.0, ,Calm,1013.3,17.8,44,0.0,NW,13,1011.6,1
2021-06-26,5.3,19.1,0.0,WNW,28.0,09:50,13.1,58,0.0,WNW,13,1016.6,18.6,41,2.0,NW,6,1015.8,0
2021-06-27,4.2,19.1,0.0,W,26.0,11:17,11.9,51,0.0,NW,7,1023.9,16.2,53,7.0,ENE,9,1024.6,0
2021-06-28,5.4,15.5,0.0,S,22.0,10:43,9.6,90,0.0,WSW,7,1033.0,14.8,55,0.0,SE,13,1031.9,0
2021-06-29,4.8,17.5,0.0,NNE,15.0,18:47,9.3,86,0.0,WSW,6,1035.2,17.2,52,7.0,NE,6,1032.6,0
2021-06-30,8.5,17.1,1.8,E,20.0,13:40,11.1,96,1.0, ,Calm,1031.5,16.3,78,0.0,ENE,11,1027.6,1
2021-07-1,4.9,17.1,0.0,NE,15.0,13:33,9.2,98,7.0, ,Calm,1024.9,16.1,77,8.0,ENE,9,1021.4,0
2021-07-2,7.4,19.6,2.4,NNW,26.0,14:52,11.8,96,0.0,WNW,7,1016.5,18.5,49,0.0,NW,15,1014.1,1
2021-07-3,5.4,18.6,0.0,WNW,28.0,12:14,13.5,70,0.0,NNW,11,1017.3,17.1,42,8.0,NW,11,1014.5,0
2021-07-4,3.0,16.3,0.0,NNW,33.0,12:17,11.1,53,0.0,NNW,9,1019.8,15.6,39,0.0,NNW,13,1016.2,0
2021-07-5,3.6,16.3,0.0,W,30.0,00:40,9.5,64,0.0,WNW,9,1020.4,15.4,45,0.0,ENE,13,1018.0,0
2021-07-6,1.7,14.7,0.0,ESE,19.0,13:19,6.6,79,0.0,SW,7,1021.8,13.4,48,1.0,SE,9,1020.8,0
2021-07-7,2.8,15.2,0.0,W,15.0,03:10,6.9,78,5.0,WSW,7,1025.9,14.5,52,4.0,E,9,1023.9,0
2021-07-8,1.6,15.9,0.0,ENE,24.0,13:05,6.3,94,0.0, ,Calm,1023.9,14.5,60,0.0,NE,13,1019.8,0
2021-07-9,3.8,15.5,0.2,SW,30.0,21:38,7.4,85,8.0,WSW,6,1016.2,15.0,65,8.0,SSW,9,1013.1,0
2021-07-10,7.3,16.6,0.0,SSW,43.0,14:24,11.9,62,2.0,SW,15,1020.1,11.8,86,8.0,S,24,1022.0,0
2021-07-11,6.4,15.8,4.0,WSW,20.0,10:36,10.1,86,8.0,SW,9,1028.2,15.4,65,1.0,ENE,9,1025.1,1
2021-07-12,3.3,16.9,0.2,NNE,30.0,15:26,7.4,98,5.0, ,Calm,1023.1,16.9,57,1.0,NNE,22,1018.2,0
2021-07-13,4.4,19.6,0.0,NW,28.0,12:00,14.3,60,0.0,NW,13,1016.4,18.4,44,0.0,N,11,1012.7,0
2021-07-14,4.9,18.0,0.0,NW,44.0,13:30,13.2,56,7.0,N,9,1011.0,15.9,50,8.0,N,11,1006.2,0
2021-07-15,5.9,21.6,0.0,NW,30.0,15:01,15.3,65,0.0,N,9,1003.7,20.9,37,3.0,NNW,17,999.1,0
2021-07-16,8.1,19.1,0.0,NW,44.0,14:23,13.6,57,8.0,NNW,13,992.9,15.8,43,1.0,NW,17,990.1,0
2021-07-17,10.0,16.6,0.0,WSW,43.0,12:47,11.9,52,8.0,NW,13,992.6,15.6,27,1.0,WNW,20,993.4,0
2021-07-18,2.1,18.8,0.0,SW,31.0,10:59,9.8,79,0.0,SSE,7,1010.5,15.8,52,1.0,SE,15,1011.1,0
2021-07-19,2.4,16.0,0.0,W,24.0,22:45,7.2,87,8.0, ,Calm,1017.5,14.8,51,6.0,ENE,11,1012.2,0
2021-07-20,2.2,15.8,0.0,SW,50.0,20:46,12.0,54,8.0,N,6,1007.2,13.6,53,8.0,NNW,11,1002.0,0
2021-07-21,7.9,15.4,0.0,SW,41.0,11:03,10.6,49,0.0,SSW,15,1014.7,14.6,31,0.0,SSW,22,1015.4,0
2021-07-22,-0.6,15.7,0.0,NNE,33.0,16:16,7.2,77,0.0, ,Calm,1018.0,14.5,53,0.0,NE,22,1012.8,0
2021-07-23,3.4,14.7,0.0,N,26.0,11:03,8.5,81,8.0,WNW,7,1009.2,13.2,58,8.0,N,13,1004.9,0
